Age,Gender,Region,Education,Employment,Income,Exercise,Health Monitoring,Wearable Device,DNA Test Taken,Comfort DNA Sharing,Trust in Science,Interest Vitamins,Interest Skincare,Interest Diet Fitness,Preferred Mode,Willingness to Pay,Subscription Interest,Interest in DNA Brand,Diet Type_Vegetarian,Diet Type_Vegan,Diet Type_Non-vegetarian,Diet Type_Keto/Low-carb,Diet Type_High Protein,Diet Type_Pescatarian,Fitness Goals_Weight loss,Fitness Goals_Muscle gain,Fitness Goals_Energy,Fitness Goals_Sleep,Fitness Goals_Endurance,Fitness Goals_Mental wellness,Fitness Goals_Healthy aging,Fitness Goals_General fitness,Health Issues_Fatigue,Health Issues_Stress,Health Issues_Digestive issues,Health Issues_Vitamin deficiency,Health Issues_Skin issues,Health Issues_Hair fall,Health Issues_Hormonal imbalance,Health Issues_Weight issues,Supplement Sources_Pharmacy,Supplement Sources_Online,Supplement Sources_Supermarket,Supplement Sources_Clinic,Supplement Sources_None,Supplements Used_Multivitamins,Supplements Used_Omega-3,Supplements Used_Collagen,Supplements Used_Vitamin D,Supplements Used_Protein,Supplements Used_Probiotics,Supplements Used_Creatine,Supplements Used_Skin supplements,DNA Interest Areas_Diet plans,DNA Interest Areas_Vitamins,DNA Interest Areas_Skincare,DNA Interest Areas_Fitness,DNA Interest Areas_Preventive health,DNA Interest Areas_Anti-aging,DNA Interest Areas_Genetics curiosity
35-44,Female,Abu Dhabi,Bachelor,Working Professional,3000-7000,3-4 times/wk,Weekly,No,Yes,4,Low,Neutral,Neutral,Unlikely,Dashboard,700-1000,Yes,Maybe,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
35-44,Female,Abu Dhabi,Bachelor,Not working,7000-12000,1-2 times/wk,Daily,No,No,4,High,Neutral,Very likely,Unlikely,App,1000-1500,Maybe,Maybe,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0
35-44,Female,Abu Dhabi,Bachelor,Working Professional,20000-35000,3-4 times/wk,Occasionally,No,No,5,Medium,Very unlikely,Very likely,Likely,WhatsApp AI,200-400,Maybe,Yes,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0
25-34,Male,Dubai,Bachelor,Student,<3000,5+ times/wk,Occasionally,Yes,Yes,3,Medium,Likely,Very likely,Neutral,WhatsApp AI,700-1000,Yes,Yes,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
18-24,Female,Sharjah,Bachelor,Working Professional,20000-35000,Never,Daily,No,No,5,Low,Very unlikely,Likely,Unlikely,Clinic,200-400,Maybe,Yes,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
25-34,Female,RAK,Bachelor,Student,3000-7000,1-2 times/wk,Occasionally,Yes,Yes,4,High,Very likely,Likely,Neutral,App,700-1000,Yes,Yes,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1
25-34,Male,Dubai,Bachelor,Freelancer,35000+,1-2 times/wk,Weekly,Yes,No,4,Low,Neutral,Very likely,Likely,App,200-400,Maybe,Yes,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0
35-44,Male,Dubai,Diploma,Working Professional,7000-12000,1-2 times/wk,Occasionally,No,No,4,Medium,Neutral,Neutral,Very likely,App,1000-1500,Maybe,Yes,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0
25-34,Male,RAK,Bachelor,Working Professional,12000-20000,3-4 times/wk,Daily,No,Yes,2,Medium,Likely,Neutral,Likely,WhatsApp AI,400-700,Yes,Yes,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0
18-24,Other,UAQ,High School,Business Owner,<3000,1-2 times/wk,Weekly,No,No,4,Medium,Very likely,Very likely,Unlikely,Email,200-400,Maybe,Yes,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
18-24,Other,Ajman,Master,Not working,7000-12000,3-4 times/wk,Occasionally,Yes,No,4,Medium,Likely,Very likely,Very likely,App,<200,No,Yes,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0
35-44,Female,Dubai,High School,Working Professional,7000-12000,3-4 times/wk,Weekly,Yes,No,3,High,Unlikely,Very likely,Very likely,Dashboard,400-700,Yes,Yes,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0
25-34,Female,Dubai,Bachelor,Working Professional,<3000,1-2 times/wk,Weekly,Yes,No,4,Medium,Likely,Neutral,Likely,Email,1000-1500,No,Maybe,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
25-34,Male,Dubai,Bachelor,Working Professional,20000-35000,5+ times/wk,Never,No,Yes,3,High,Likely,Unlikely,Unlikely,Clinic,200-400,Maybe,Yes,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0
25-34,Female,Sharjah,Master,Business Owner,12000-20000,3-4 times/wk,Occasionally,Yes,No,3,Medium,Very likely,Neutral,Likely,WhatsApp AI,700-1000,Yes,Yes,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0
25-34,Male,RAK,Bachelor,Student,7000-12000,3-4 times/wk,Weekly,Yes,Yes,3,High,Unlikely,Likely,Very likely,WhatsApp AI,400-700,Yes,Maybe,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0
25-34,Female,Abu Dhabi,Master,Working Professional,7000-12000,Never,Never,No,No,4,High,Unlikely,Unlikely,Neutral,App,700-1000,Maybe,Maybe,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
35-44,Male,Abu Dhabi,Bachelor,Student,12000-20000,3-4 times/wk,Occasionally,No,No,4,High,Unlikely,Neutral,Likely,App,400-700,Yes,Yes,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25-34,Other,Dubai,Bachelor,Freelancer,12000-20000,5+ times/wk,Weekly,Yes,No,4,Low,Likely,Neutral,Very likely,Clinic,1000-1500,Maybe,Yes,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
45-54,Female,Abu Dhabi,Bachelor,Business Owner,12000-20000,1-2 times/wk,Occasionally,No,Yes,5,Low,Unlikely,Likely,Likely,Email,700-1000,Yes,Yes,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
35-44,Female,Sharjah,High School,Working Professional,3000-7000,Never,Occasionally,Yes,No,4,High,Unlikely,Likely,Neutral,App,400-700,Yes,Maybe,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
25-34,Male,Dubai,Bachelor,Working Professional,12000-20000,1-2 times/wk,Occasionally,Yes,Yes,5,Medium,Neutral,Likely,Neutral,App,400-700,Yes,Yes,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
25-34,Male,Dubai,Bachelor,Student,20000-35000,5+ times/wk,Daily,No,Yes,3,Medium,Neutral,Neutral,Neutral,App,200-400,Yes,No,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
25-34,Male,Dubai,Bachelor,Business Owner,3000-7000,3-4 times/wk,Weekly,Yes,No,5,High,Unlikely,Neutral,Very likely,Clinic,200-400,No,Yes,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0
25-34,Male,Dubai,Master,Working Professional,3000-7000,3-4 times/wk,Weekly,No,No,4,High,Very unlikely,Likely,Likely,WhatsApp AI,200-400,Yes,Yes,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0
25-34,Male,Dubai,Bachelor,Working Professional,7000-12000,3-4 times/wk,Daily,No,No,1,High,Likely,Likely,Neutral,WhatsApp AI,<200,Maybe,No,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25-34,Female,Fujairah,Bachelor,Student,3000-7000,3-4 times/wk,Occasionally,No,No,4,Medium,Very likely,Neutral,Unlikely,Clinic,<200,Maybe,Maybe,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
25-34,Male,Ajman,Bachelor,Working Professional,<3000,3-4 times/wk,Occasionally,Yes,Yes,4,Low,Unlikely,Unlikely,Unlikely,Dashboard,1500+,Yes,Yes,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
25-34,Female,Abu Dhabi,High School,Working Professional,3000-7000,3-4 times/wk,Occasionally,No,No,5,High,Neutral,Neutral,Unlikely,Email,400-700,No,Yes,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
35-44,Female,Dubai,Master,Working Professional,12000-20000,3-4 times/wk,Occasionally,No,Yes,2,Medium,Neutral,Neutral,Unlikely,App,200-400,No,No,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
35-44,Other,Abu Dhabi,Bachelor,Student,3000-7000,3-4 times/wk,Never,Yes,Yes,2,High,Neutral,Likely,Neutral,App,400-700,Maybe,Yes,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1
18-24,Male,Dubai,Master,Working Professional,12000-20000,3-4 times/wk,Occasionally,No,No,4,High,Very likely,Unlikely,Likely,WhatsApp AI,200-400,Maybe,Yes,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
25-34,Female,Abu Dhabi,Doctorate,Freelancer,3000-7000,5+ times/wk,Weekly,Yes,No,4,Medium,Neutral,Likely,Unlikely,Clinic,200-400,No,Maybe,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0
25-34,Female,Ajman,Diploma,Freelancer,7000-12000,Never,Occasionally,No,No,2,Medium,Likely,Unlikely,Neutral,Dashboard,700-1000,Maybe,Yes,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
25-34,Male,UAQ,Bachelor,Not working,3000-7000,Never,Weekly,No,No,4,High,Likely,Neutral,Neutral,App,400-700,Yes,Maybe,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
35-44,Female,Sharjah,High School,Working Professional,12000-20000,Never,Daily,Yes,No,5,Medium,Very unlikely,Neutral,Very unlikely,WhatsApp AI,700-1000,Yes,No,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
35-44,Female,Abu Dhabi,High School,Student,3000-7000,Never,Weekly,No,No,1,Medium,Unlikely,Very unlikely,Likely,App,400-700,Yes,Yes,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
35-44,Female,Sharjah,Bachelor,Student,7000-12000,3-4 times/wk,Occasionally,Yes,No,4,High,Unlikely,Unlikely,Likely,App,400-700,Maybe,Yes,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
35-44,Male,Abu Dhabi,Bachelor,Working Professional,20000-35000,Never,Weekly,No,No,4,Medium,Neutral,Unlikely,Likely,App,1000-1500,Yes,Yes,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
25-34,Male,Ajman,Bachelor,Working Professional,3000-7000,3-4 times/wk,Daily,Yes,No,1,Medium,Neutral,Neutral,Likely,App,400-700,No,Yes,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0
25-34,Female,Dubai,Master,Working Professional,7000-12000,3-4 times/wk,Weekly,No,Yes,4,High,Neutral,Likely,Neutral,WhatsApp AI,700-1000,Yes,Maybe,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
35-44,Male,UAQ,Bachelor,Freelancer,12000-20000,1-2 times/wk,Occasionally,No,No,5,High,Unlikely,Very likely,Likely,Dashboard,400-700,Yes,Maybe,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
25-34,Male,Ajman,Master,Working Professional,3000-7000,3-4 times/wk,Never,No,Yes,1,Medium,Likely,Unlikely,Unlikely,Clinic,200-400,Maybe,Yes,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0
18-24,Female,Dubai,Bachelor,Working Professional,<3000,1-2 times/wk,Daily,No,No,3,Low,Likely,Likely,Unlikely,App,1500+,Maybe,Maybe,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1
35-44,Female,Ajman,Diploma,Business Owner,<3000,3-4 times/wk,Weekly,No,Yes,3,High,Neutral,Unlikely,Neutral,App,1500+,Maybe,Yes,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
45-54,Female,Abu Dhabi,Bachelor,Working Professional,35000+,Never,Never,Yes,No,2,High,Very likely,Very likely,Neutral,Email,200-400,Yes,Yes,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
45-54,Male,Ajman,Diploma,Student,7000-12000,1-2 times/wk,Occasionally,Yes,No,4,Medium,Likely,Very unlikely,Likely,App,<200,Yes,Yes,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1
25-34,Female,Dubai,Doctorate,Student,7000-12000,3-4 times/wk,Weekly,Yes,No,5,Medium,Neutral,Likely,Likely,Dashboard,200-400,Maybe,Yes,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
18-24,Female,Abu Dhabi,Diploma,Business Owner,12000-20000,1-2 times/wk,Never,No,Yes,4,High,Unlikely,Unlikely,Unlikely,App,1000-1500,Yes,No,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
25-34,Male,Abu Dhabi,Bachelor,Student,3000-7000,1-2 times/wk,Occasionally,No,No,4,High,Likely,Neutral,Likely,App,200-400,Yes,Yes,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0
18-24,Female,Dubai,Master,Working Professional,7000-12000,3-4 times/wk,Occasionally,Yes,No,3,High,Very likely,Very likely,Unlikely,App,200-400,Maybe,Yes,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
25-34,Female,Dubai,Bachelor,Student,20000-35000,5+ times/wk,Weekly,No,No,3,Low,Neutral,Neutral,Likely,Email,200-400,Yes,Maybe,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
45-54,Male,Dubai,Bachelor,Student,3000-7000,3-4 times/wk,Occasionally,Yes,No,4,High,Very likely,Likely,Very likely,WhatsApp AI,200-400,Maybe,No,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0
45-54,Female,Dubai,Bachelor,Student,3000-7000,3-4 times/wk,Occasionally,No,No,5,Medium,Unlikely,Likely,Very likely,App,700-1000,Yes,Maybe,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0
25-34,Female,Dubai,Bachelor,Working Professional,20000-35000,1-2 times/wk,Occasionally,Yes,Yes,3,Medium,Very likely,Very likely,Neutral,App,400-700,Yes,Yes,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0
45-54,Female,Sharjah,Diploma,Student,12000-20000,1-2 times/wk,Occasionally,No,Yes,3,Medium,Very likely,Very likely,Likely,App,700-1000,No,Yes,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1
18-24,Male,Fujairah,Bachelor,Working Professional,20000-35000,3-4 times/wk,Weekly,Yes,Yes,3,High,Very unlikely,Likely,Likely,Dashboard,<200,Yes,No,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
55+,Female,Dubai,Master,Working Professional,20000-35000,1-2 times/wk,Weekly,Yes,No,3,Medium,Likely,Likely,Unlikely,WhatsApp AI,<200,No,Maybe,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
25-34,Female,Dubai,High School,Working Professional,7000-12000,5+ times/wk,Weekly,No,No,3,Medium,Likely,Likely,Likely,App,700-1000,Yes,Maybe,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1
55+,Female,Dubai,Bachelor,Not working,7000-12000,5+ times/wk,Weekly,No,No,5,High,Neutral,Unlikely,Neutral,Email,700-1000,No,Yes,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1
25-34,Male,Dubai,Bachelor,Freelancer,20000-35000,5+ times/wk,Weekly,Yes,No,4,Medium,Likely,Very unlikely,Unlikely,App,700-1000,No,Yes,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0
45-54,Male,Dubai,Bachelor,Business Owner,20000-35000,Never,Weekly,Yes,No,4,High,Likely,Neutral,Likely,WhatsApp AI,<200,Yes,Maybe,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0
25-34,Female,Abu Dhabi,Bachelor,Student,12000-20000,Never,Weekly,No,No,4,High,Neutral,Very likely,Likely,App,1000-1500,Yes,No,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18-24,Male,Dubai,Bachelor,Student,20000-35000,3-4 times/wk,Occasionally,Yes,No,4,High,Likely,Unlikely,Unlikely,App,200-400,No,Yes,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0
45-54,Other,Sharjah,Bachelor,Student,3000-7000,5+ times/wk,Occasionally,No,No,4,High,Unlikely,Neutral,Neutral,WhatsApp AI,400-700,Yes,Maybe,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
55+,Female,Abu Dhabi,Bachelor,Working Professional,12000-20000,3-4 times/wk,Occasionally,Yes,No,3,High,Very likely,Likely,Likely,WhatsApp AI,700-1000,No,Maybe,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
35-44,Other,Dubai,Bachelor,Working Professional,<3000,3-4 times/wk,Weekly,Yes,No,3,High,Likely,Very likely,Unlikely,App,200-400,Yes,Maybe,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
35-44,Male,Sharjah,Bachelor,Student,7000-12000,3-4 times/wk,Occasionally,No,No,3,Medium,Very likely,Very unlikely,Very likely,Dashboard,1000-1500,Yes,Yes,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0
18-24,Female,Dubai,Bachelor,Working Professional,7000-12000,5+ times/wk,Occasionally,Yes,No,5,Medium,Neutral,Unlikely,Likely,Dashboard,200-400,Maybe,Maybe,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18-24,Male,Abu Dhabi,Bachelor,Working Professional,<3000,3-4 times/wk,Weekly,No,No,5,High,Unlikely,Very likely,Neutral,App,400-700,Yes,Yes,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
18-24,Female,Abu Dhabi,Bachelor,Working Professional,7000-12000,3-4 times/wk,Occasionally,No,No,5,Medium,Unlikely,Very unlikely,Neutral,App,700-1000,Maybe,Yes,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0
35-44,Female,Sharjah,Bachelor,Student,3000-7000,5+ times/wk,Never,Yes,No,2,Medium,Very unlikely,Neutral,Unlikely,Dashboard,700-1000,Maybe,Yes,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0
45-54,Female,Abu Dhabi,Bachelor,Freelancer,7000-12000,3-4 times/wk,Weekly,No,No,3,Medium,Very likely,Neutral,Very unlikely,WhatsApp AI,1000-1500,Maybe,No,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
18-24,Male,Abu Dhabi,Bachelor,Student,3000-7000,1-2 times/wk,Daily,Yes,No,2,Medium,Likely,Very unlikely,Likely,App,1000-1500,No,Yes,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
25-34,Male,Sharjah,Master,Student,12000-20000,1-2 times/wk,Occasionally,No,No,3,High,Likely,Very likely,Likely,App,1000-1500,Yes,Yes,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
25-34,Female,Ajman,Bachelor,Business Owner,20000-35000,3-4 times/wk,Daily,No,No,5,Medium,Very likely,Neutral,Likely,WhatsApp AI,200-400,Maybe,Maybe,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
25-34,Female,Abu Dhabi,Bachelor,Working Professional,7000-12000,3-4 times/wk,Weekly,Yes,No,5,High,Very likely,Very unlikely,Neutral,App,1500+,Yes,Yes,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
35-44,Male,Dubai,Bachelor,Freelancer,7000-12000,5+ times/wk,Occasionally,Yes,No,4,Medium,Likely,Very likely,Likely,Email,400-700,No,Yes,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
