Age,Gender,Education Level,Income Level,Region,Exercise Frequency,Diet Type,Current Supplement Usage,Interest in Scientific Wellness,Health Priorities,Spending Range,Estimated Monthly Spending (AED),Interest in DNA-Based Wellness Concept
59,Female,High School,5000-10000 AED,Dubai,Never,Keto/Low Carb,Yes,Neutral,"Energy Levels, Skin Health, Immunity Boost, Anti-Aging",200-500 AED,482.26,Not Interested
30,Female,Master’s,>20000 AED,Abu Dhabi,3-4 times/week,Vegetarian,No,Very Interested,"Mental Wellness, Immunity Boost, Anti-Aging, Skin Health",500-1000 AED,591.45,Neutral
49,Female,High School,10000-20000 AED,Ajman,1-2 times/week,Non-Vegetarian,Yes,Not Interested,"Skin Health, Mental Wellness",1000-2000 AED,1567.44,Highly Interested
56,Female,Bachelor’s,<2000 AED,Abu Dhabi,3-4 times/week,Non-Vegetarian,Yes,Not Interested,"Mental Wellness, Anti-Aging, Skin Health",200-500 AED,313.1,Highly Interested
49,Female,High School,2000-5000 AED,Dubai,3-4 times/week,Non-Vegetarian,Yes,Very Interested,"Energy Levels, Anti-Aging, Weight Management, Mental Wellness",1000-2000 AED,1964.93,Neutral
21,Male,Bachelor’s,>20000 AED,Dubai,5+ times/week,Non-Vegetarian,Yes,Somewhat Interested,"Anti-Aging, Energy Levels, Skin Health, Mental Wellness, Fitness Performance",200-500 AED,282.06,Interested
47,Male,Master’s,2000-5000 AED,Abu Dhabi,Never,Non-Vegetarian,Yes,Very Interested,"Anti-Aging, Skin Health, Immunity Boost, Mental Wellness, Weight Management",1000-2000 AED,1399.66,Interested
54,Female,Bachelor’s,10000-20000 AED,Abu Dhabi,3-4 times/week,Non-Vegetarian,No,Very Interested,"Immunity Boost, Energy Levels",200-500 AED,494.86,Neutral
40,Male,High School,10000-20000 AED,Sharjah,3-4 times/week,Vegetarian,Yes,Very Interested,"Skin Health, Fitness Performance, Anti-Aging",200-500 AED,360.94,Neutral
56,Male,Master’s,5000-10000 AED,Dubai,3-4 times/week,Vegan,No,Very Interested,"Skin Health, Mental Wellness, Weight Management, Fitness Performance, Immunity Boost",200-500 AED,350.79,Interested
62,Female,Master’s,2000-5000 AED,Ajman,3-4 times/week,Vegetarian,Yes,Very Interested,"Energy Levels, Immunity Boost, Skin Health, Anti-Aging, Fitness Performance",200-500 AED,277.33,Interested
32,Male,High School,5000-10000 AED,Dubai,3-4 times/week,Non-Vegetarian,No,Very Interested,"Fitness Performance, Immunity Boost, Weight Management",500-1000 AED,850.68,Highly Interested
60,Female,Master’s,2000-5000 AED,Dubai,3-4 times/week,Non-Vegetarian,No,Not Interested,"Energy Levels, Mental Wellness, Skin Health",1000-2000 AED,1014.37,Interested
46,Female,Doctorate,10000-20000 AED,Dubai,1-2 times/week,Non-Vegetarian,Yes,Neutral,"Skin Health, Immunity Boost, Weight Management, Fitness Performance, Energy Levels",<200 AED,119.81,Highly Interested
53,Female,High School,5000-10000 AED,Dubai,3-4 times/week,Keto/Low Carb,Yes,Somewhat Interested,"Skin Health, Mental Wellness",1000-2000 AED,1599.36,Highly Interested
30,Male,Master’s,10000-20000 AED,Abu Dhabi,1-2 times/week,Pescatarian,Yes,Somewhat Interested,"Energy Levels, Weight Management",500-1000 AED,670.84,Highly Interested
49,Female,Master’s,<2000 AED,Abu Dhabi,5+ times/week,Pescatarian,No,Neutral,"Immunity Boost, Weight Management, Anti-Aging, Mental Wellness, Fitness Performance",1000-2000 AED,1953.32,Highly Interested
24,Male,Bachelor’s,>20000 AED,Dubai,3-4 times/week,Non-Vegetarian,Yes,Very Interested,"Weight Management, Fitness Performance, Mental Wellness",200-500 AED,470.96,Interested
39,Female,High School,5000-10000 AED,Abu Dhabi,5+ times/week,Vegan,No,Somewhat Interested,"Anti-Aging, Skin Health, Mental Wellness",500-1000 AED,856.85,Interested
45,Male,High School,<2000 AED,Dubai,1-2 times/week,Non-Vegetarian,Yes,Not Interested,"Anti-Aging, Mental Wellness, Immunity Boost",>2000 AED,2818.15,Interested
19,Female,Master’s,<2000 AED,Sharjah,5+ times/week,Pescatarian,No,Very Interested,"Energy Levels, Immunity Boost, Anti-Aging, Weight Management",500-1000 AED,833.67,Highly Interested
59,Female,Doctorate,10000-20000 AED,Ras Al Khaimah,5+ times/week,Non-Vegetarian,No,Somewhat Interested,"Energy Levels, Skin Health",500-1000 AED,562.79,Neutral
62,Prefer not to say,Master’s,5000-10000 AED,Dubai,3-4 times/week,Keto/Low Carb,No,Neutral,"Mental Wellness, Weight Management",200-500 AED,429.66,Highly Interested
23,Female,Bachelor’s,10000-20000 AED,Abu Dhabi,3-4 times/week,Keto/Low Carb,Yes,Neutral,"Fitness Performance, Energy Levels, Mental Wellness, Anti-Aging, Skin Health",200-500 AED,263.06,Neutral
45,Male,Bachelor’s,<2000 AED,Dubai,1-2 times/week,Vegan,Yes,Somewhat Interested,"Energy Levels, Fitness Performance",500-1000 AED,661.72,Neutral
45,Female,Bachelor’s,<2000 AED,Dubai,5+ times/week,Non-Vegetarian,No,Very Interested,"Immunity Boost, Anti-Aging, Skin Health, Mental Wellness",1000-2000 AED,1819.23,Interested
61,Male,Bachelor’s,5000-10000 AED,Dubai,3-4 times/week,Vegetarian,Yes,Very Interested,"Anti-Aging, Energy Levels, Fitness Performance, Weight Management",200-500 AED,360.96,Interested
61,Male,High School,2000-5000 AED,Sharjah,Never,Pescatarian,Yes,Very Interested,"Energy Levels, Mental Wellness, Anti-Aging",500-1000 AED,929.97,Neutral
37,Male,Master’s,5000-10000 AED,Abu Dhabi,1-2 times/week,Vegetarian,Yes,Somewhat Interested,"Fitness Performance, Mental Wellness",500-1000 AED,606.52,Highly Interested
47,Female,Bachelor’s,>20000 AED,Dubai,5+ times/week,Pescatarian,Yes,Very Interested,"Fitness Performance, Skin Health, Mental Wellness",500-1000 AED,803.89,Interested
28,Female,Master’s,>20000 AED,Ajman,5+ times/week,Non-Vegetarian,Yes,Neutral,"Weight Management, Skin Health",500-1000 AED,541.9,Interested
45,Male,Bachelor’s,>20000 AED,Abu Dhabi,5+ times/week,Non-Vegetarian,Yes,Very Interested,"Immunity Boost, Skin Health, Mental Wellness, Weight Management",1000-2000 AED,1643.06,Highly Interested
42,Female,High School,10000-20000 AED,Ajman,3-4 times/week,Keto/Low Carb,Yes,Very Interested,"Mental Wellness, Fitness Performance, Energy Levels",200-500 AED,428.76,Neutral
56,Male,High School,2000-5000 AED,Abu Dhabi,1-2 times/week,Non-Vegetarian,No,Somewhat Interested,"Energy Levels, Mental Wellness, Fitness Performance, Skin Health",1000-2000 AED,1584.93,Neutral
50,Male,Bachelor’s,5000-10000 AED,Abu Dhabi,1-2 times/week,Non-Vegetarian,No,Somewhat Interested,"Energy Levels, Skin Health, Mental Wellness",200-500 AED,279.87,Neutral
18,Male,Doctorate,5000-10000 AED,Dubai,1-2 times/week,Non-Vegetarian,No,Very Interested,"Anti-Aging, Energy Levels",200-500 AED,209.4,Highly Interested
44,Male,High School,10000-20000 AED,Dubai,Never,Non-Vegetarian,No,Very Interested,"Mental Wellness, Skin Health, Immunity Boost, Fitness Performance, Weight Management",200-500 AED,235.83,Highly Interested
30,Female,Master’s,<2000 AED,Other,1-2 times/week,Vegan,Yes,Somewhat Interested,"Energy Levels, Fitness Performance, Immunity Boost, Anti-Aging",200-500 AED,386.69,Interested
58,Female,Bachelor’s,5000-10000 AED,Dubai,1-2 times/week,Non-Vegetarian,Yes,Very Interested,"Immunity Boost, Weight Management, Skin Health, Fitness Performance, Anti-Aging",200-500 AED,480.33,Highly Interested
20,Female,Master’s,<2000 AED,Other,3-4 times/week,Keto/Low Carb,Yes,Very Interested,"Immunity Boost, Anti-Aging, Energy Levels, Mental Wellness",200-500 AED,261.96,Interested
56,Male,Bachelor’s,5000-10000 AED,Abu Dhabi,5+ times/week,Pescatarian,Yes,Neutral,"Mental Wellness, Fitness Performance, Immunity Boost",1000-2000 AED,1735.03,Interested
23,Male,Master’s,10000-20000 AED,Dubai,3-4 times/week,Non-Vegetarian,No,Somewhat Interested,"Immunity Boost, Mental Wellness, Weight Management",200-500 AED,459.94,Interested
25,Male,Master’s,10000-20000 AED,Dubai,5+ times/week,Vegan,Yes,Very Interested,"Weight Management, Skin Health, Mental Wellness",1000-2000 AED,1520.88,Interested
44,Female,High School,2000-5000 AED,Dubai,3-4 times/week,Non-Vegetarian,Yes,Neutral,"Weight Management, Fitness Performance, Immunity Boost, Mental Wellness, Energy Levels",<200 AED,367.71,Interested
26,Male,High School,>20000 AED,Ras Al Khaimah,1-2 times/week,Non-Vegetarian,Yes,Not Interested,"Skin Health, Mental Wellness",>2000 AED,2815.02,Highly Interested
54,Female,Master’s,5000-10000 AED,Abu Dhabi,1-2 times/week,Keto/Low Carb,Yes,Somewhat Interested,"Immunity Boost, Energy Levels, Weight Management",1000-2000 AED,1260.68,Highly Interested
50,Prefer not to say,Doctorate,<2000 AED,Dubai,Never,Vegetarian,No,Somewhat Interested,"Energy Levels, Weight Management",<200 AED,218.76,Interested
59,Female,High School,2000-5000 AED,Dubai,1-2 times/week,Non-Vegetarian,Yes,Neutral,"Immunity Boost, Energy Levels",1000-2000 AED,1000.63,Interested
61,Non-binary,Master’s,2000-5000 AED,Dubai,3-4 times/week,Non-Vegetarian,No,Not Interested,"Weight Management, Energy Levels, Skin Health",500-1000 AED,981.55,Neutral
41,Male,Doctorate,<2000 AED,Abu Dhabi,Never,Non-Vegetarian,Yes,Somewhat Interested,"Fitness Performance, Energy Levels, Skin Health, Weight Management, Mental Wellness",1000-2000 AED,1917.54,Neutral
32,Female,Master’s,>20000 AED,Dubai,1-2 times/week,Non-Vegetarian,Yes,Very Interested,"Mental Wellness, Skin Health",500-1000 AED,882.28,Not Interested
49,Female,Doctorate,5000-10000 AED,Ajman,1-2 times/week,Vegan,No,Somewhat Interested,"Skin Health, Fitness Performance, Weight Management, Mental Wellness, Anti-Aging",500-1000 AED,539.54,Highly Interested
49,Female,Master’s,10000-20000 AED,Dubai,5+ times/week,Non-Vegetarian,Yes,Somewhat Interested,"Energy Levels, Anti-Aging",1000-2000 AED,1447.5,Highly Interested
41,Male,Bachelor’s,2000-5000 AED,Dubai,3-4 times/week,Non-Vegetarian,No,Very Interested,"Anti-Aging, Fitness Performance, Weight Management",500-1000 AED,550.95,Highly Interested
58,Male,Bachelor’s,<2000 AED,Abu Dhabi,3-4 times/week,Vegetarian,No,Very Interested,"Weight Management, Skin Health, Immunity Boost, Anti-Aging",<200 AED,106.37,Interested
29,Male,Bachelor’s,5000-10000 AED,Abu Dhabi,1-2 times/week,Non-Vegetarian,No,Neutral,"Skin Health, Immunity Boost, Weight Management, Mental Wellness",1000-2000 AED,1616.18,Interested
56,Female,Master’s,<2000 AED,Other,3-4 times/week,Non-Vegetarian,No,Somewhat Interested,"Anti-Aging, Fitness Performance, Mental Wellness, Immunity Boost, Weight Management",500-1000 AED,980.41,Neutral
19,Female,Master’s,5000-10000 AED,Abu Dhabi,3-4 times/week,Non-Vegetarian,Yes,Very Interested,"Anti-Aging, Fitness Performance, Mental Wellness, Energy Levels",500-1000 AED,951.43,Interested
20,Female,High School,>20000 AED,Dubai,3-4 times/week,Non-Vegetarian,No,Somewhat Interested,"Weight Management, Energy Levels",<200 AED,378.7,Neutral
54,Male,Master’s,5000-10000 AED,Abu Dhabi,5+ times/week,Vegetarian,Yes,Very Interested,"Skin Health, Weight Management, Fitness Performance",500-1000 AED,548.32,Neutral
34,Female,Master’s,5000-10000 AED,Dubai,1-2 times/week,Non-Vegetarian,No,Very Interested,"Immunity Boost, Weight Management, Anti-Aging, Mental Wellness, Energy Levels",>2000 AED,2274.16,Highly Interested
19,Male,Bachelor’s,2000-5000 AED,Dubai,5+ times/week,Non-Vegetarian,No,Somewhat Interested,"Fitness Performance, Weight Management, Anti-Aging, Skin Health, Mental Wellness",200-500 AED,296.02,Interested
19,Male,Bachelor’s,<2000 AED,Other,5+ times/week,Keto/Low Carb,No,Very Interested,"Fitness Performance, Energy Levels",500-1000 AED,881.58,Interested
45,Male,Bachelor’s,<2000 AED,Sharjah,Never,Keto/Low Carb,No,Very Interested,"Fitness Performance, Anti-Aging, Weight Management, Mental Wellness, Energy Levels",500-1000 AED,901.12,Highly Interested
40,Female,High School,5000-10000 AED,Other,3-4 times/week,Non-Vegetarian,Yes,Not Interested,"Anti-Aging, Energy Levels, Weight Management, Mental Wellness, Skin Health",1000-2000 AED,1385.11,Interested
54,Male,High School,<2000 AED,Abu Dhabi,5+ times/week,Keto/Low Carb,No,Very Interested,"Anti-Aging, Weight Management, Fitness Performance",500-1000 AED,708.94,Interested
49,Female,High School,2000-5000 AED,Abu Dhabi,1-2 times/week,Vegan,Yes,Very Interested,"Weight Management, Fitness Performance, Mental Wellness, Anti-Aging",200-500 AED,213.35,Highly Interested
50,Female,High School,5000-10000 AED,Dubai,3-4 times/week,Non-Vegetarian,No,Not Interested,"Weight Management, Mental Wellness, Skin Health, Energy Levels, Immunity Boost",>2000 AED,2289.14,Interested
18,Male,Bachelor’s,2000-5000 AED,Dubai,5+ times/week,Vegetarian,No,Somewhat Interested,"Fitness Performance, Energy Levels, Mental Wellness",500-1000 AED,725.64,Interested
36,Female,Bachelor’s,2000-5000 AED,Ajman,3-4 times/week,Vegan,Yes,Somewhat Interested,"Anti-Aging, Mental Wellness, Immunity Boost",200-500 AED,235.09,Highly Interested
19,Male,High School,2000-5000 AED,Dubai,1-2 times/week,Vegan,Yes,Neutral,"Mental Wellness, Skin Health, Energy Levels, Fitness Performance, Weight Management",<200 AED,281.31,Interested
61,Male,Master’s,>20000 AED,Ajman,3-4 times/week,Non-Vegetarian,Yes,Very Interested,"Mental Wellness, Fitness Performance, Weight Management, Immunity Boost, Anti-Aging",500-1000 AED,926.59,Highly Interested
43,Female,Bachelor’s,5000-10000 AED,Sharjah,1-2 times/week,Vegan,No,Somewhat Interested,"Mental Wellness, Energy Levels, Skin Health, Weight Management, Immunity Boost",200-500 AED,374.4,Interested
49,Male,Doctorate,5000-10000 AED,Dubai,3-4 times/week,Non-Vegetarian,Yes,Somewhat Interested,"Energy Levels, Mental Wellness, Weight Management, Anti-Aging, Skin Health",200-500 AED,223.68,Highly Interested
23,Female,Doctorate,<2000 AED,Abu Dhabi,Never,Vegan,Yes,Neutral,"Energy Levels, Mental Wellness, Fitness Performance, Immunity Boost",1000-2000 AED,1191.67,Neutral
49,Female,High School,>20000 AED,Sharjah,3-4 times/week,Keto/Low Carb,Yes,Somewhat Interested,"Fitness Performance, Weight Management, Mental Wellness, Energy Levels",<200 AED,289.82,Interested
21,Female,Bachelor’s,5000-10000 AED,Dubai,3-4 times/week,Non-Vegetarian,No,Somewhat Interested,"Weight Management, Skin Health, Mental Wellness, Immunity Boost, Energy Levels",1000-2000 AED,1361.49,Highly Interested
28,Female,High School,2000-5000 AED,Ajman,3-4 times/week,Vegan,Yes,Somewhat Interested,"Weight Management, Immunity Boost",200-500 AED,307.62,Interested
34,Female,Bachelor’s,10000-20000 AED,Abu Dhabi,3-4 times/week,Non-Vegetarian,Yes,Somewhat Interested,"Skin Health, Anti-Aging, Fitness Performance, Immunity Boost, Mental Wellness",1000-2000 AED,1529.27,Interested
55,Female,Bachelor’s,2000-5000 AED,Dubai,3-4 times/week,Non-Vegetarian,Yes,Somewhat Interested,"Anti-Aging, Weight Management",1000-2000 AED,1584.4,Interested
41,Female,High School,5000-10000 AED,Abu Dhabi,3-4 times/week,Vegan,Yes,Somewhat Interested,"Energy Levels, Mental Wellness",<200 AED,418.74,Interested
22,Male,Bachelor’s,5000-10000 AED,Other,1-2 times/week,Vegetarian,Yes,Somewhat Interested,"Immunity Boost, Weight Management, Fitness Performance, Anti-Aging",500-1000 AED,670.48,Interested
51,Male,High School,2000-5000 AED,Dubai,3-4 times/week,Non-Vegetarian,Yes,Somewhat Interested,"Mental Wellness, Anti-Aging, Weight Management, Fitness Performance",200-500 AED,441.64,Highly Interested
23,Female,High School,>20000 AED,Ajman,1-2 times/week,Non-Vegetarian,Yes,Somewhat Interested,"Fitness Performance, Anti-Aging, Weight Management, Immunity Boost, Energy Levels",1000-2000 AED,1338.61,Highly Interested
39,Female,Master’s,10000-20000 AED,Dubai,5+ times/week,Non-Vegetarian,No,Somewhat Interested,"Fitness Performance, Mental Wellness, Immunity Boost, Weight Management",1000-2000 AED,1055.43,Interested
28,Male,Bachelor’s,5000-10000 AED,Sharjah,Never,Non-Vegetarian,No,Neutral,"Mental Wellness, Skin Health",500-1000 AED,777.09,Interested
33,Female,Bachelor’s,2000-5000 AED,Sharjah,3-4 times/week,Vegan,Yes,Somewhat Interested,"Anti-Aging, Weight Management, Mental Wellness",500-1000 AED,793.95,Highly Interested
50,Male,Bachelor’s,<2000 AED,Dubai,3-4 times/week,Vegetarian,No,Neutral,"Immunity Boost, Fitness Performance, Anti-Aging, Energy Levels, Weight Management",200-500 AED,480.36,Neutral
26,Non-binary,Doctorate,2000-5000 AED,Dubai,3-4 times/week,Non-Vegetarian,Yes,Neutral,"Mental Wellness, Fitness Performance, Anti-Aging",1000-2000 AED,1726.06,Highly Interested
23,Male,High School,10000-20000 AED,Sharjah,Never,Non-Vegetarian,Yes,Somewhat Interested,"Fitness Performance, Weight Management",500-1000 AED,958.89,Neutral
33,Male,Bachelor’s,2000-5000 AED,Abu Dhabi,3-4 times/week,Pescatarian,Yes,Somewhat Interested,"Skin Health, Energy Levels, Anti-Aging, Mental Wellness",200-500 AED,472.5,Highly Interested
46,Male,Master’s,5000-10000 AED,Sharjah,3-4 times/week,Keto/Low Carb,Yes,Neutral,"Weight Management, Mental Wellness, Anti-Aging",500-1000 AED,802.29,Highly Interested
20,Female,Bachelor’s,10000-20000 AED,Dubai,3-4 times/week,Keto/Low Carb,Yes,Somewhat Interested,"Anti-Aging, Fitness Performance, Weight Management, Energy Levels",<200 AED,311.1,Neutral
37,Female,Doctorate,<2000 AED,Ajman,1-2 times/week,Vegan,Yes,Neutral,"Energy Levels, Mental Wellness, Immunity Boost, Weight Management, Anti-Aging",1000-2000 AED,1557.44,Highly Interested
53,Male,Master’s,5000-10000 AED,Sharjah,3-4 times/week,Vegan,Yes,Somewhat Interested,"Immunity Boost, Anti-Aging, Fitness Performance",<200 AED,491.33,Neutral
36,Female,Master’s,<2000 AED,Ras Al Khaimah,3-4 times/week,Non-Vegetarian,No,Somewhat Interested,"Skin Health, Mental Wellness",500-1000 AED,886.58,Highly Interested
43,Male,Master’s,>20000 AED,Dubai,3-4 times/week,Non-Vegetarian,Yes,Very Interested,"Skin Health, Weight Management",200-500 AED,231.88,Interested
20,Female,Doctorate,5000-10000 AED,Abu Dhabi,3-4 times/week,Non-Vegetarian,Yes,Very Interested,"Skin Health, Fitness Performance",200-500 AED,433.53,Neutral
36,Male,Doctorate,2000-5000 AED,Abu Dhabi,3-4 times/week,Vegan,Yes,Not Interested,"Skin Health, Anti-Aging, Fitness Performance",500-1000 AED,585.27,Highly Interested
37,Male,Master’s,2000-5000 AED,Dubai,1-2 times/week,Keto/Low Carb,Yes,Somewhat Interested,"Weight Management, Fitness Performance, Immunity Boost, Mental Wellness",>2000 AED,2447.35,Neutral
49,Female,Master’s,5000-10000 AED,Abu Dhabi,Never,Vegetarian,Yes,Somewhat Interested,"Anti-Aging, Fitness Performance, Immunity Boost",1000-2000 AED,1210.46,Interested
24,Prefer not to say,High School,10000-20000 AED,Dubai,1-2 times/week,Keto/Low Carb,Yes,Neutral,"Mental Wellness, Energy Levels, Anti-Aging",200-500 AED,406.87,Interested
58,Female,High School,10000-20000 AED,Sharjah,1-2 times/week,Non-Vegetarian,No,Somewhat Interested,"Weight Management, Energy Levels, Skin Health, Fitness Performance",200-500 AED,463.19,Interested
50,Female,Bachelor’s,5000-10000 AED,Abu Dhabi,3-4 times/week,Non-Vegetarian,Yes,Somewhat Interested,"Immunity Boost, Skin Health, Anti-Aging",1000-2000 AED,1290.36,Neutral
57,Non-binary,High School,<2000 AED,Dubai,3-4 times/week,Vegetarian,Yes,Somewhat Interested,"Immunity Boost, Weight Management, Energy Levels, Fitness Performance, Skin Health",500-1000 AED,541.01,Highly Interested
56,Male,Bachelor’s,2000-5000 AED,Sharjah,1-2 times/week,Vegetarian,No,Somewhat Interested,"Mental Wellness, Anti-Aging, Weight Management, Fitness Performance, Energy Levels",200-500 AED,289.55,Highly Interested
35,Prefer not to say,High School,<2000 AED,Abu Dhabi,5+ times/week,Non-Vegetarian,Yes,Very Interested,"Energy Levels, Anti-Aging",1000-2000 AED,1672.36,Neutral
57,Female,Bachelor’s,5000-10000 AED,Dubai,Never,Non-Vegetarian,Yes,Somewhat Interested,"Weight Management, Energy Levels",1000-2000 AED,1328.76,Neutral
18,Female,Master’s,10000-20000 AED,Other,3-4 times/week,Non-Vegetarian,No,Somewhat Interested,"Weight Management, Mental Wellness, Immunity Boost, Fitness Performance",>2000 AED,2278.11,Highly Interested
28,Female,Doctorate,5000-10000 AED,Ras Al Khaimah,3-4 times/week,Non-Vegetarian,Yes,Very Interested,"Energy Levels, Skin Health",>2000 AED,2184.44,Interested
45,Female,High School,2000-5000 AED,Abu Dhabi,1-2 times/week,Pescatarian,Yes,Somewhat Interested,"Anti-Aging, Immunity Boost",1000-2000 AED,1497.52,Interested
42,Female,Bachelor’s,5000-10000 AED,Dubai,Never,Pescatarian,Yes,Very Interested,"Weight Management, Skin Health, Energy Levels, Anti-Aging, Mental Wellness",<200 AED,210.38,Interested
40,Female,Master’s,10000-20000 AED,Sharjah,3-4 times/week,Keto/Low Carb,Yes,Very Interested,"Weight Management, Mental Wellness, Immunity Boost, Skin Health, Energy Levels",200-500 AED,419.3,Highly Interested
48,Female,High School,10000-20000 AED,Abu Dhabi,1-2 times/week,Non-Vegetarian,Yes,Very Interested,"Fitness Performance, Weight Management",500-1000 AED,538.31,Interested
47,Male,Master’s,10000-20000 AED,Dubai,5+ times/week,Non-Vegetarian,Yes,Very Interested,"Mental Wellness, Anti-Aging, Weight Management, Energy Levels, Immunity Boost",500-1000 AED,832.02,Highly Interested
59,Prefer not to say,Bachelor’s,2000-5000 AED,Abu Dhabi,3-4 times/week,Vegan,Yes,Somewhat Interested,"Skin Health, Energy Levels, Weight Management, Anti-Aging",500-1000 AED,618.78,Neutral
52,Female,Bachelor’s,2000-5000 AED,Abu Dhabi,5+ times/week,Non-Vegetarian,Yes,Neutral,"Skin Health, Anti-Aging, Immunity Boost, Mental Wellness",500-1000 AED,744.64,Neutral
24,Male,Doctorate,10000-20000 AED,Abu Dhabi,1-2 times/week,Vegetarian,No,Somewhat Interested,"Fitness Performance, Mental Wellness, Skin Health, Immunity Boost, Energy Levels",500-1000 AED,643.04,Interested
33,Female,High School,5000-10000 AED,Abu Dhabi,3-4 times/week,Non-Vegetarian,Yes,Very Interested,"Immunity Boost, Mental Wellness, Anti-Aging, Skin Health",500-1000 AED,861.38,Highly Interested
43,Female,Master’s,2000-5000 AED,Abu Dhabi,3-4 times/week,Non-Vegetarian,Yes,Very Interested,"Energy Levels, Weight Management, Fitness Performance, Skin Health, Anti-Aging",<200 AED,478.12,Highly Interested
19,Female,Master’s,10000-20000 AED,Ras Al Khaimah,3-4 times/week,Non-Vegetarian,Yes,Very Interested,"Fitness Performance, Immunity Boost, Anti-Aging",200-500 AED,475.12,Interested
18,Female,High School,10000-20000 AED,Dubai,1-2 times/week,Non-Vegetarian,No,Somewhat Interested,"Immunity Boost, Skin Health",500-1000 AED,791.71,Interested
29,Male,Master’s,5000-10000 AED,Sharjah,3-4 times/week,Non-Vegetarian,Yes,Very Interested,"Weight Management, Anti-Aging",1000-2000 AED,1462.61,Highly Interested
22,Female,Doctorate,5000-10000 AED,Ajman,3-4 times/week,Vegetarian,No,Somewhat Interested,"Weight Management, Immunity Boost, Anti-Aging, Fitness Performance",200-500 AED,445.49,Interested
54,Non-binary,High School,2000-5000 AED,Abu Dhabi,3-4 times/week,Non-Vegetarian,Yes,Very Interested,"Skin Health, Immunity Boost, Weight Management",500-1000 AED,841.66,Highly Interested
49,Male,Master’s,5000-10000 AED,Abu Dhabi,1-2 times/week,Non-Vegetarian,Yes,Neutral,"Anti-Aging, Immunity Boost, Energy Levels, Fitness Performance, Skin Health",1000-2000 AED,1183.56,Highly Interested
26,Female,Bachelor’s,5000-10000 AED,Abu Dhabi,5+ times/week,Non-Vegetarian,Yes,Very Interested,"Anti-Aging, Immunity Boost, Fitness Performance",500-1000 AED,910.46,Highly Interested
58,Male,Bachelor’s,10000-20000 AED,Abu Dhabi,Never,Vegetarian,Yes,Very Interested,"Fitness Performance, Anti-Aging",<200 AED,271.55,Highly Interested
52,Female,Bachelor’s,10000-20000 AED,Ajman,5+ times/week,Non-Vegetarian,Yes,Neutral,"Weight Management, Skin Health, Fitness Performance, Mental Wellness, Energy Levels",500-1000 AED,594.49,Highly Interested
36,Female,Bachelor’s,10000-20000 AED,Abu Dhabi,5+ times/week,Non-Vegetarian,Yes,Very Interested,"Skin Health, Anti-Aging, Energy Levels",200-500 AED,284.54,Interested
33,Female,Doctorate,<2000 AED,Other,5+ times/week,Non-Vegetarian,Yes,Very Interested,"Mental Wellness, Anti-Aging, Immunity Boost",>2000 AED,2267.53,Neutral
20,Male,Doctorate,10000-20000 AED,Dubai,3-4 times/week,Non-Vegetarian,Yes,Somewhat Interested,"Energy Levels, Immunity Boost, Fitness Performance, Anti-Aging",200-500 AED,355.76,Neutral
37,Female,Bachelor’s,10000-20000 AED,Dubai,3-4 times/week,Non-Vegetarian,No,Somewhat Interested,"Immunity Boost, Mental Wellness, Weight Management, Anti-Aging, Energy Levels",500-1000 AED,617.19,Highly Interested
41,Male,Master’s,5000-10000 AED,Abu Dhabi,5+ times/week,Keto/Low Carb,No,Somewhat Interested,"Fitness Performance, Energy Levels",<200 AED,149.43,Highly Interested
50,Male,Bachelor’s,10000-20000 AED,Dubai,1-2 times/week,Non-Vegetarian,Yes,Very Interested,"Skin Health, Weight Management, Fitness Performance, Anti-Aging",500-1000 AED,561.85,Highly Interested
41,Male,Bachelor’s,10000-20000 AED,Dubai,3-4 times/week,Non-Vegetarian,Yes,Very Interested,"Mental Wellness, Anti-Aging, Skin Health, Weight Management, Immunity Boost",500-1000 AED,791.64,Highly Interested
28,Male,Master’s,5000-10000 AED,Dubai,3-4 times/week,Non-Vegetarian,Yes,Very Interested,"Immunity Boost, Energy Levels, Mental Wellness, Skin Health, Anti-Aging",200-500 AED,420.43,Interested
25,Female,Bachelor’s,5000-10000 AED,Dubai,3-4 times/week,Non-Vegetarian,No,Very Interested,"Mental Wellness, Weight Management",500-1000 AED,660.77,Interested
53,Female,Bachelor’s,<2000 AED,Dubai,1-2 times/week,Non-Vegetarian,Yes,Neutral,"Energy Levels, Anti-Aging, Weight Management, Mental Wellness",200-500 AED,210.4,Highly Interested
55,Female,Master’s,2000-5000 AED,Other,3-4 times/week,Non-Vegetarian,No,Somewhat Interested,"Skin Health, Energy Levels, Anti-Aging, Weight Management, Mental Wellness",200-500 AED,238.17,Highly Interested
57,Male,Bachelor’s,5000-10000 AED,Dubai,5+ times/week,Vegan,Yes,Very Interested,"Immunity Boost, Weight Management",500-1000 AED,957.35,Highly Interested
37,Female,High School,10000-20000 AED,Sharjah,Never,Non-Vegetarian,Yes,Somewhat Interested,"Weight Management, Fitness Performance",200-500 AED,348.06,Highly Interested
52,Female,High School,2000-5000 AED,Sharjah,5+ times/week,Vegetarian,Yes,Very Interested,"Weight Management, Mental Wellness, Energy Levels, Immunity Boost, Fitness Performance",1000-2000 AED,1453.57,Interested
42,Male,Bachelor’s,<2000 AED,Ras Al Khaimah,Never,Non-Vegetarian,No,Neutral,"Skin Health, Fitness Performance, Energy Levels, Weight Management",500-1000 AED,519.02,Highly Interested
